	id_tweet	created_at	user_name	text	clean	cluster
1664	1047450565284958210	2018-10-03 06:37:30	zuzupasaludar	@BogotaTransito @TransitoBta En av ciudad de cali con calle 67 (caño) sentido norte sur una motocicleta caída x carro particular gris choque simple.  Acabo de pasar X ahí.	     av ciudad cali callar      caño   sentir norte sur motocicleta caer x carro particular gris chocar simple    acabar pasar x	1
21160	1055090973665939456	2018-10-24 08:37:45	BOG_ELDORADO	En este momento (8:30 a.m.) se vive una alta congestión vehicular en la Calle 26 sentido occidente-oriente por la lluvias y obras que se realizan en la vía. Te recomendamos salir con más tiempo de anticipación para cumplir con tu programa de vuelo. #Comparte https://t.co/TdWh8C4uGt	       a metro    vivir alto congestión vehicular callar     sentir occidente orientar lluvia y obrar realizar vía   recomendar salir anticipación cumplir programar volar    compartir  	1
65744	1070651221583818752	2018-12-06 07:08:37	BallesterosLeo	@ArribaBogota obtuvo un revelador video sobre el fatídico accidente en la calle 26. Una camioneta blindada que transportaba valores arrolló a cinco personas quitándole la vida a una de ellas. El video es clave para la Policía @TransitoBta @SectorMovilidad @Citytv #Noctámbulo https://t.co/z94dPmuEEU	   obtener revelador video fatídico accidentar callar      camioneta blindar transportar valorar arrollar a personar quitándole vida a   video clavar policía         noctámbulo  	1
75695	1074765083191009285	2018-12-17 15:35:38	BogotaseMueve	Bus del SITP se incendió en la Av. 68 con calle 65 sentido norte - sur. Foto: Andrés Martínez. https://t.co/cPYCM1ibFY	bus sitp incendiar av      callar     sentir norte    sur   foto   andrés martínez   	1
81352	1078269264476418049	2018-12-27 07:40:00	BogotaseMueve	Tránsito lento saliendo de la ciudad por la Autosur sector Chusacá por accidente fatal. Estructura cayó sobre motociclista. Foto: Hercont Fabiancho. https://t.co/b4PDtJRAF9	tránsito lento salir ciudad autosur sector chusacá accidentar fatal   estructurar caer motociclista   foto   hercont fabiancho   	1
65259	1070396478022135814	2018-12-05 14:16:22	CABLENOTICIAS	Grave accidente en la calle 26 en Bogotá deja un muerto https://t.co/JZyyULG2do https://t.co/lzBbuLdPvp	gravar accidentar callar     bogotá dejar morir    	1
73905	1073811948691709953	2018-12-15 00:28:13	CIVICOSBOG	A esta hora nuestras unidades atienden dos accidentes ocurridos en la Av. Boyaca por 170, donde uno de los accidentes es un atropellamiento de una persona en bicicleta y el otro incidente… https://t.co/QAWKyrw3L6	a hora unidad atender accidente ocurrir av   boyaca       accidente atropellamiento personar bicicleta y incidente   	1
55642	1066252143781384193	2018-11-24 03:48:15	CIVICOSBOG	A esta hora nuestras unidades se encuentran en la autopista norte por 100. Donde se presenta un choque entre un vehículo particular y un vehículo de servicio público, por fortuna no… https://t.co/GEc4fGzMAe	a hora unidad encontrar autopista norte       presentar chocar vehículo particular y vehículo servicio público   fortuna   	1
55572	1066203076254679040	2018-11-24 00:33:17	CIVICOSBOG	En la calle 63 Por 24 se presenta un accidente donde se ven involucrados un vehículo de servicio público y una motocicleta. Tres personas resultaron lesionadas; nuestras unidades en el… https://t.co/GwPDDYWg5z	callar         presentar accidentar ver involucrar vehículo servicio público y motocicleta   personar resultar lesionar   unidad   	1
62916	1069041713799471106	2018-12-01 20:33:01	CIVICOSBOG	Esta madrugada se presentó un accidente en la Av suba por boyaca debajo del puente; una vez más nuestras unidades llegaron al lugar para poder brindar apoyo. PROTEGER Y SERVIR!!! https://t.co/fz5rFh0DkM	madrugar presentar accidentar av subir boyaca puente   unidad llegar brindar apoyar   proteger y servir     	1
73908	1073833514146050048	2018-12-15 01:53:55	CIVICOSBOG	Nuestras unidades se encuentran en la calle 67 por 19 en un accidente entre un vehículo particular y una motocicleta; conductor de la motocicleta resulta lesionado. https://t.co/0XfJppTDlG	unidad encontrar callar         accidentar vehículo particular y motocicleta   conductor motocicleta resultar lesionar   	1
60745	1068089507596120065	2018-11-29 05:29:17	CanalCapital	#ATENCIÓN A esta hora se presenta un grave accidente en la Autopista Norte con calle 116 sentido sur -norte que involucra una tractomula. Según reporte de les autoridades no hay heridos. ⚠️Antes de salir de casa es mejor que planee su viaje y tome vías alternas⚠️ https://t.co/y4VZRpFcut	  atención a hora presentar gravar accidentar autopista norte callar      sentir sur   norte involucrar tractomula   reportar autoridad herir     salir casar planear viajar y tomar vía alterno    	1
60127	1067881703216156672	2018-11-28 15:43:32	CanalCapital	#ATENCIÓN Fuertes choques en la Av 1º de Mayo con Av Villavicencio. El ESMAD dispersó a un grupo de encapuchados que arrojaron piedras y bombas molotov contra las autoridades → https://t.co/iAaqypCG16	  atención fuerte choque av     mayar av villavicencio   esmad dispersar a grupo encapuchar arrojar piedra y bombo molotov autoridad    	1
46706	1063179106395844613	2018-11-15 16:17:06	CanalCapital	Información en tiempo real: fue habilitado el paso vehicular en la autopista Norte con calle 100, luego de que los manifestantes se aglomeraran en la vía ⏩⏩https://t.co/bwvuPZ5XPm	información real   habilitar pasar vehicular autopista norte callar       manifestante aglomerar vía    	1
25262	1057056203635941382	2018-10-29 18:46:52	ColombiaFlash	Accidente en la Troncal de Occidente deja heridos leves :...https://t.co/7HgHNyxIrT	accidentar troncal occidente dejar herir leve      	1
11867	1050894799195258881	2018-10-12 18:43:39	ColombiaFlash	Camión de basura protagonizó accidente múltiple en el sur de #Bogotá :...https://t.co/ZVXdIbCI6H	camión basura protagonizar accidentar múltiple sur   bogotá      	1
61751	1068477786296369152	2018-11-30 07:12:10	ConcesionCCFC	A la hora se presenta accidente con ciclista fallecido en el sector de Fontibón, evento que ocasiona congestión vehicular en nuestra vía concesionada.	a hora presentar accidentar ciclista fallecer sector fontibón   evento ocasionar congestión vehicular vía concesionada	1
74771	1074282161673519104	2018-12-16 07:36:41	ConcesionCCFC	A la hora se presenta accidente con persona fallecida en el sector de Italcol, sentido Mosquera - Bogotá. Se inicia el procedimiento de levantamiento por parte de la unidad judicial con cierre a un carril.	a hora presentar accidentar personar fallecido sector italcol   sentir mosquera    bogotá   iniciar procedimiento levantamiento unidad judicial cerrar a carril	1
37717	1060856208226222081	2018-11-09 06:26:44	ConcesionCCFC	A la hora se presenta accidente en sector Jardines de los Andes sentido Madrid - Facatativá, entre motocicleta y ciclista el cual fallece en el lugar. En este momento hay paso a un carril y se está a la espera de la unidad judicial para procedimiento. Agradecemos su comprensión	a hora presentar accidentar sector jardín andar sentir madrid    facatativá   motocicleta y ciclista fallecer   pasar a carril y a esperar unidad judicial procedimiento   agradecer comprensión	1
23597	1056044219205337089	2018-10-26 23:45:36	ELTIEMPO	#AtenciónComunidadET  A esta hora en la autopista Norte con calle 127 se registran caravanas de motocicletas que bloquean el tránsito, desde la calle 100 hasta la calle 134. https://t.co/zgU8kddPEK	  atención comunidadet   a hora autopista norte callar      registrar caravana motocicleta bloquear tránsito   callar      callar       	1
45754	1063106593628319744	2018-11-15 11:28:58	ELTIEMPO	#SeMarchaPor La marcha obrera y @fecode salieron del Parque Nacional y se dirigen por la carrera 7, hacia la Plaza de Bolívar. En este momento se presenta cierres entre la calle 30 y calle 26 por la carrera séptima. #ElTiempoLeCuenta ► https://t.co/2OY7kPGNoi	  marchar marchar obrero y    salir parque nacional y dirigir carrera     plaza bolívar   presentar cierre callar     y callar     carrera séptimo       	1
35773	1060682194279170048	2018-11-08 18:55:16	ELTIEMPO	Sobre la Autopista Norte, están cerradas las estaciones de Alcalá, Prado, Calle 127, Calle 106, Calle 100, Virrey, Héroes y Calle 85🔽 https://t.co/jW6lZMGVhQ	autopista norte   cerrar estacionar alcalá   prado   callar       callar       callar       virrey   héroe y callar      	1
36169	1060696854218846214	2018-11-08 19:53:31	ELTIEMPO	Habilitan el paso de vehículos y articulados a la altura de la calle 100, en Bogotá; sin embargo, el tráfico está represado y la normalización del servicio puede demorarse, indica TransMilenio► https://t.co/GXbk3nM42D https://t.co/kxsizLcmXg	habilitar pasar vehículo y articular a altura callar       bogotá     tráfico represar y normalización servicio demorarse   indicar trans milenio     	1
61695	1068455009229115393	2018-11-30 05:41:39	YoQuinteroCami	⚠ ACCIDENTE BRUTAL POR LA CALLE 13 ANTES DE LA AV. CALI ⚠	   accidentar brutal callar     av   cali  	1
